highest_emotion
AP
HA
AP
""
AN
AP
CO
AP
""
AP
""
""
CO
AP
HA
AP
HA
AP
AP
AP
CO
AP
HA
CO
HA
AP
AP
AP
AN
AP
AP
""
HA
AP
CO
AN
""
AP
CO
AP
CO
AP
AP
SD
""
AN
HA
""
CO
HA
""
AN
""
AP
AP
AP
AP
""
CO
AN
CO
""
AP
AP
AP
""
AP
AP
HA
""
AP
CO
AN
""
AP
AN
AP
AP
AP
HA
HA
SD
CO
AN
AN
HA
HA
HA
HA
AP
HA
SD
CO
CO
AN
CO
AP
CO
SD
HA
CO
HA
HA
""
HA
CO
CO
HA
""
AP
AP
AP
AN
CO
AP
